module,type,name,res_id,src,value,comments
building_menagement,model,"ir.actions.act_window,name",building_menagement.action_building_category_form,my building_category,my building_category,
building_menagement,model,"ir.actions.act_window,name",building_menagement.action_building_form,my building,my building,
building_menagement,model,"ir.actions.act_window,name",building_menagement.action_floor_form,my floor,my floor,
building_menagement,model,"ir.actions.act_window,name",building_menagement.action_office_form,my office,my office,
building_menagement,model,"ir.actions.act_window,name",building_menagement.action_rent_agreement_form,my rent_agreement,my rent_agreement,
building_menagement,model,"ir.actions.act_window,name",building_menagement.rent_wizard_action,Rentagreement Sold,Rentagreement Sold,
building_menagement,model,"ir.actions.act_window,name",building_menagement.rent_wizard_action_id,Rentagreement Sold,Rentagreement Sold,
building_menagement,model,"ir.actions.report,name",building_menagement.report_info,building info,building info,
building_menagement,model,"ir.model,name",building_menagement.model_building,building,building,
building_menagement,model,"ir.model,name",building_menagement.model_building_category,building_category,building_category,
building_menagement,model,"ir.model,name",building_menagement.model_building_wizard,building_wizard,building_wizard,
building_menagement,model,"ir.model,name",building_menagement.model_floor,floor,floor,
building_menagement,model,"ir.model,name",building_menagement.model_office,office,office,
building_menagement,model,"ir.model,name",building_menagement.model_rent_agreement,rent_agreement,rent_agreement,
building_menagement,model,"ir.model,name",building_menagement.model_rent_wizard,rent_wizard,rent_wizard,
building_menagement,model,"ir.model,name",building_menagement.model_res_partner,Contact,સંપર્ક,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_building__Sequence,Sequence,Sequence,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_building____last_update,Last Modified on,Last Modified on,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_building__active,Active,Active,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_building__adress,adress,adress,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_building__area_rate,area rate,area rate,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_building__building_cat_many_id,buildingto build_cat,buildingto build_cat,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_building__building_code,Building Code,Building Code,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_building__cost_factor,Cost Factor,Cost Factor,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_building__cost_price,Cost Price,Cost Price,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_building__create_date,Created on,Created on,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_building__create_uid,Created by,Created by,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_building__date_today,Date today,Date today,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_building__display_name,Display Name,Display Name,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_building__floor_line,Floor Line,Floor Line,
